prop_name;prop_count;prop_count_value;prop_counter
географические координаты;100;119;100.0
государство;100;102;100.0
административно-территориальная единица;91;196;91.0
впадает в;68;292;68.0
приток;60;148;60.0
находится на берегу водоёма;52;219;52.0
находится в пределах природно-географического объекта;24;33;24.0
названо в честь;19;22;19.0
проходит над/под;18;32;18.0
впадающие в озеро реки;17;44;17.0
вытекающие из озера реки;16;63;16.0
местонахождение;15;21;15.0
бассейн объекта в странах;15;15;15.0
длина;15;15;15.0
общая тема категории;15;15;15.0
основная категория по теме;15;15;15.0
находится в охранной зоне;13;13;13.0
состоит из;12;24;12.0
место смерти;12;12;12.0
описывается в источниках;10;13;10.0
вертикальная глубина;9;10;9.0
галерея на Викискладе;7;7;7.000000000000001
место рождения;6;11;6.0
карта местонахождения;5;5;5.0
площадь;5;5;5.0
история происходит в месте;4;4;4.0
высота над уровнем моря;3;3;3.0
конечная;3;3;3.0
место съёмок;3;3;3.0
часовой пояс;2;3;2.0
место обнаружения;2;2;2.0
название на языке оригинала;2;2;2.0
типовая местность (геология);1;5;1.0
этнохороним;1;4;1.0
имеет границы с;1;2;1.0
исток водотока;1;2;1.0
водосборный бассейн;1;1;1.0
город-побратим;1;1;1.0
дата основания/создания/возникновения;1;1;1.0
обслуживаемый город;1;1;1.0
объём;1;1;1.0
официальный сайт;1;1;1.0
периметр;1;1;1.0
площадь бассейна;1;1;1.0
подкласс от;1;1;1.0
пример использования свойства;1;1;1.0
произношение (звуковой файл);1;1;1.0
сделано из;1;1;1.0
часть света;1;1;1.0
число пролётов;1;1;1.0
ширина;1;1;1.0
