prop_name;prop_count;prop_count_value;prop_counter
географические координаты;100;129;100.0
государство;94;101;94.0
административно-территориальная единица;77;88;77.0
находится на берегу водоёма;40;40;40.0
находится в пределах природно-географического объекта;32;45;32.0
состоит из;21;40;21.0
площадь;15;16;15.0
высота над уровнем моря;14;14;14.000000000000002
часовой пояс;11;17;11.0
названо в честь;10;17;10.0
на территорию претендует;9;31;9.0
часть света;5;5;5.0
численность населения;4;4;4.0
местонахождение;3;5;3.0
дата основания/создания/возникновения;3;3;3.0
значимое место;3;3;3.0
категория защищённых зон МСОП;3;3;3.0
общая тема категории;3;3;3.0
основная категория по теме;3;3;3.0
сектор видимости;2;8;2.0
описывается в источниках;2;5;2.0
ключевое событие;2;4;2.0
высота лампы маяка;2;2;2.0
дальность видимости маяка;2;2;2.0
длина;2;2;2.0
карта местонахождения;2;2;2.0
код для сущности Wolfram Language;2;2;2.0
периметр;2;2;2.0
световая характеристика маяка;2;2;2.0
цвет;1;4;1.0
направление относительно места;1;3;1.0
заказчик произведения;1;2;1.0
состоит из представителей класса;1;2;1.0
впадает в;1;1;1.0
высота/рост;1;1;1.0
изображение памятной доски;1;1;1.0
место смерти;1;1;1.0
находится в охранной зоне;1;1;1.0
ответственность несёт;1;1;1.0
официальное название;1;1;1.0
сделано из;1;1;1.0
ширина;1;1;1.0
