prop_name;prop_count;prop_count_value;prop_counter
географические координаты;98;106;98
государство;97;114;97
административно-территориальная единица;95;248;95
высота над уровнем моря;95;103;95
горный хребет;77;224;77
относительная высота;75;77;75
наивысшая точка;64;258;64
часть света;64;70;64
общая тема категории;58;58;58
основная категория по теме;58;58;58
названо в честь;53;115;53
находится в пределах природно-географического объекта;50;431;50
сделано из;47;50;47
галерея на Викискладе;45;45;45
топографическая изоляция;44;44;44
описывается в источниках;43;97;43
место смерти;40;309;40
родительская вершина;34;302;34
местонахождение;33;75;33
ключевое событие;30;63;30
находится в охранной зоне;27;33;27
состоит из;21;30;21
вулканическая обсерватория;14;14;14
эра;14;14;14
площадь;13;13;13
место погребения;12;1045;12
исток водотока;12;52;12
пример использования свойства;12;16;12
официальный сайт;12;12;12
название на языке оригинала;11;14;11
дата основания/создания/возникновения;10;10;10
место рождения;9;173;9
историческое графство;9;9;9
часовой пояс;8;13;8
конечная;8;11;8
история происходит в месте;8;10;8
длина;8;8;8
категория для людей, умерших здесь;8;8;8
численность населения;7;23;7
карта местонахождения;7;7;7
место жительства;6;16;6
находится на берегу водоёма;6;6;6
типовая местность (геология);5;27;5
пункт назначения;5;22;5
расположение штаб-квартиры;5;12;5
место активности;5;7;5
модельный элемент;5;5;5
ширина;5;5;5
открывает вид на;4;8;4
место обнаружения;4;6;4
тематически относится к;4;5;4
место астрономического открытия;3;95;3
climbing route;3;3;3
административно делится на;3;3;3
категория для людей, похороненных здесь;3;3;3
категория для людей, связанных с местностью;3;3;3
официальное название;2;8;2
полученные награды;2;6;2
юрисдикция распространяется на;2;5;2
изображается на;2;3;2
key col;2;2;2
аудиозапись прочитанного текста;2;2;2
владельцем является;2;2;2
географический код Великобритании;2;2;2
законодательный орган;2;2;2
значимое место;2;2;2
изображение флага;2;2;2
история темы;2;2;2
категория защищённых зон МСОП;2;2;2
код для сущности Wolfram Language;2;2;2
место создания;2;2;2
обслуживаемый город;2;2;2
основатель;2;2;2
панорамный вид;2;2;2
предположительно одно и то же с;2;2;2
произношение (звуковой файл);2;2;2
рабочий список проекта Викимедиа;2;2;2
элемент для смысла;2;2;2
является эндемиком в;2;2;2
рейтинг Эло;1;100;1
этническая группа;1;84;1
женское население;1;16;1
мужское население;1;16;1
название;1;9;1
официальная резиденция;1;7;1
имеет границы с;1;3;1
бюджет;1;2;1
включает населённый пункт;1;2;1
город-побратим;1;2;1
жанр;1;2;1
описан на сайте;1;2;1
при создании назван как;1;2;1
содержит;1;2;1
создатель;1;2;1
столица;1;2;1
является столицей;1;2;1
geomorphological unit;1;1;1
альтернативное имя;1;1;1
архитектурный стиль;1;1;1
божество относится к;1;1;1
вид спорта;1;1;1
видеофайл;1;1;1
владеет;1;1;1
выдающееся произведение;1;1;1
высота/рост;1;1;1
дата официального открытия;1;1;1
дата прекращения существования;1;1;1
дата рождения;1;1;1
должность главы правительства;1;1;1
епархия;1;1;1
избирательный округ;1;1;1
изображение герба;1;1;1
исполнительная власть;1;1;1
используется как/для/в;1;1;1
категория для людей, родившихся здесь;1;1;1
кем названо;1;1;1
лицензия на вещание в;1;1;1
личное имя;1;1;1
место съёмок;1;1;1
место точки зрения;1;1;1
метод изготовления;1;1;1
написание каной;1;1;1
оператор;1;1;1
описание флага;1;1;1
основные направления;1;1;1
официальный язык;1;1;1
план помещения;1;1;1
подкласс от;1;1;1
подробная карта;1;1;1
пол или гендер;1;1;1
посвящено;1;1;1
представлено в работе;1;1;1
представляет страну в спорте;1;1;1
проходит над/под;1;1;1
расположение конечной точки;1;1;1
род занятий;1;1;1
самая восточная точка;1;1;1
самая западная точка;1;1;1
самая северная точка;1;1;1
самая южная точка;1;1;1
символ Юникода;1;1;1
создано на основе;1;1;1
список памятников;1;1;1
страница веб-камеры;1;1;1
транскрипция в МФА;1;1;1
участник организации или клуба;1;1;1
шахматный титул;1;1;1
языки, на которых говорит или пишет персона;1;1;1
