prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;5174;100.0
географические координаты;10;13;100.0
категория объединяет темы;10;11;100.0
ID отношения в OpenStreetMap;10;10;100.0
ISO 3166-2;10;10;100.0
государство;10;10;100.0
изображённый объект;10;10;100.0
карта местонахождения;10;10;100.0
категория карт на Викискладе;10;10;100.0
категория на Викискладе;10;10;100.0
общая тема категории;10;10;100.0
основная категория по теме;10;10;100.0
площадь;10;10;100.0
столица;10;10;100.0
это частный случай понятия;10;10;100.0
FIPS 10-4 (страны и регионы);9;9;90.0
Who's on First ID;9;9;90.0
административно делится на;9;9;90.0
изображение;9;9;90.0
изображение флага;9;9;90.0
код Freebase;9;9;90.0
код GeoNames;9;9;90.0
является столицей;9;9;90.0
место рождения;8;43;80.0
код в Большой каталанской энциклопедии;7;10;70.0
место в MusicBrainz;7;7;70.0
используемый язык;6;13;60.0
происходит из;6;13;60.0
дата основания/создания/возникновения;6;6;60.0
изображение герба;3;3;30.0
часть от;2;4;20.0
имеет границы с;2;3;20.0
место смерти;2;3;20.0
названо в честь;2;3;20.0
код в Encyclopædia Universalis;2;2;20.0
расположение штаб-квартиры;2;2;20.0
часовой пояс;2;2;20.0
численность населения;1;2;10.0
баннер Викигида;1;1;10.0
десятичная классификация Дьюи;1;1;10.0
категория для людей, связанных с местностью;1;1;10.0
код BNF;1;1;10.0
код BabelNet;1;1;10.0
код TGN;1;1;10.0
код US National Archives;1;1;10.0
место съёмок;1;1;10.0
начало пути;1;1;10.0
официальный сайт;1;1;10.0
учебное заведение;1;1;10.0
юрисдикция распространяется на;1;1;10.0
