prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;4813;100.0
государство;10;26;100.0
географические координаты;10;10;100.0
карта местонахождения;10;10;100.0
общая тема категории;10;10;100.0
основная категория по теме;10;10;100.0
столица;10;10;100.0
место рождения;9;42;90.0
площадь;9;9;90.0
часовой пояс;9;9;90.0
численность населения;8;12;80.0
изображение флага;8;10;80.0
дата основания/создания/возникновения;8;8;80.0
заменён на;8;8;80.0
изображение герба;8;8;80.0
описание флага;8;8;80.0
официальное название;7;26;70.0
юрисдикция распространяется на;6;14;60.0
глава правительства;6;7;60.0
галерея на Викискладе;6;6;60.0
дата прекращения существования;6;6;60.0
описание герба;6;6;60.0
часть света;6;6;60.0
имеет границы с;5;22;50.0
административно делится на;5;14;50.0
название на языке оригинала;5;13;50.0
место смерти;5;8;50.0
категория для людей, родившихся здесь;5;5;50.0
категория для людей, связанных с местностью;5;5;50.0
категория для людей, умерших здесь;5;5;50.0
официальный сайт;5;5;50.0
является столицей;5;5;50.0
официальный язык;4;9;40.0
местонахождение;4;6;40.0
должность главы правительства;4;4;40.0
код ОКАТО;4;4;40.0
код ОКТМО;4;4;40.0
происходит из;3;11;30.0
используемый язык;3;10;30.0
расположение штаб-квартиры;2;5;20.0
география темы;2;2;20.0
названо в честь;2;2;20.0
описывается в источниках;2;2;20.0
полученные награды;1;2;10.0
бассейн объекта в странах;1;1;10.0
командовал;1;1;10.0
место жительства;1;1;10.0
предыдущее по порядку;1;1;10.0
следующее по порядку;1;1;10.0
тематически относится к;1;1;10.0
