prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;14;100.0
государство;10;10;100.0
административно-территориальная единица;9;9;90.0
географические координаты;6;6;60.0
изображение;6;6;60.0
категория на Викискладе;6;6;60.0
часть от;4;28;40.0
владельцем является;4;14;40.0
оператор;4;7;40.0
владеет;4;4;40.0
статус наследия;3;4;30.0
Protected Buildings Register in Finland ID;3;3;30.0
дата основания/создания/возникновения;3;3;30.0
железнодорожное депо;2;6;20.0
площадь;2;2;20.0
производитель;1;59;10.0
Amtrak station code;1;1;10.0
RKY national built heritage environment ID;1;1;10.0
Who's on First ID;1;1;10.0
адрес (УСТАРЕЛО);1;1;10.0
дата прекращения существования;1;1;10.0
код GeoNames;1;1;10.0
код LCNAF;1;1;10.0
конечная;1;1;10.0
названо в честь;1;1;10.0
находится в пользовании у;1;1;10.0
