prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;10;100.0
географические координаты;10;10;100.0
государство;10;10;100.0
код GNS;10;10;100.0
код GeoNames;10;10;100.0
это частный случай понятия;10;10;100.0
высота над уровнем моря;7;7;70.0
код VIAF;2;2;20.0
находится в пределах природно-географического объекта;2;2;20.0
не путать с;2;2;20.0
часть от;2;2;20.0
ID отношения в OpenStreetMap;1;1;10.0
изображение;1;1;10.0
код LCNAF;1;1;10.0
личное имя;1;1;10.0
названо в честь;1;1;10.0
расположение конечной точки;1;1;10.0
