prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;11;100.0
это частный случай понятия;10;11;100.0
государство;10;10;100.0
географические координаты;8;8;80.0
изображение;8;8;80.0
впадает в;7;7;70.0
длина;7;7;70.0
приток;7;7;70.0
LAWA waterbody ID;5;5;50.0
площадь бассейна;5;5;50.0
водосборный бассейн;4;4;40.0
часть от;2;3;20.0
впадающие в озеро реки;2;2;20.0
код VIAF;2;2;20.0
местонахождение;2;2;20.0
проходит над/под;1;5;10.0
состоит из;1;2;10.0
водоём на реке;1;1;10.0
высота над уровнем моря;1;1;10.0
карта этой дороги;1;1;10.0
категория на Викискладе;1;1;10.0
код GNS;1;1;10.0
код GeoNames;1;1;10.0
код Mérimée;1;1;10.0
код SANDRE;1;1;10.0
находится в пределах природно-географического объекта;1;1;10.0
статус наследия;1;1;10.0
файл KML;1;1;10.0
