prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;26;100.0
административно-территориальная единица;10;15;100.0
изображение;10;11;100.0
географические координаты;10;10;100.0
государство;10;10;100.0
статус наследия;9;46;90.0
категория на Викискладе;9;9;90.0
дата основания/создания/возникновения;8;8;80.0
состоит из;7;15;70.0
площадь;7;9;70.0
код NRHP;7;7;70.0
часть от;6;14;60.0
официальный сайт;6;6;60.0
местонахождение;5;8;50.0
ключевое событие;5;5;50.0
высота над уровнем моря;4;7;40.0
официальное название;4;5;40.0
в память о;4;4;40.0
часть света;4;4;40.0
война/сражение;3;4;30.0
код BabelNet;3;3;30.0
код GNIS;3;3;30.0
код GeoNames;3;3;30.0
код US National Archives;3;3;30.0
основная тема;3;3;30.0
культура;2;5;20.0
ответственность несёт;2;4;20.0
код LCNAF;2;3;20.0
код Mérimée;2;3;20.0
названо в честь;2;3;20.0
код VIAF;2;2;20.0
находится в пределах природно-географического объекта;2;2;20.0
оператор;2;2;20.0
страница учреждения на Викискладе;2;2;20.0
значимый человек;1;2;10.0
код для сущности Wolfram Language;1;2;10.0
основатель;1;2;10.0
расположен на улице;1;2;10.0
ID отношения в OpenStreetMap;1;1;10.0
Museum Universe Data File ID;1;1;10.0
NPCA ID;1;1;10.0
NPS unit ID;1;1;10.0
National Park Foundation ID;1;1;10.0
National Trust for Historic Preservation ID;1;1;10.0
PEPC park ID;1;1;10.0
Recreation.gov gateway ID;1;1;10.0
WDPA;1;1;10.0
eBird hotspot ID;1;1;10.0
владельцем является;1;1;10.0
длина;1;1;10.0
значимое место;1;1;10.0
категория защищённых зон МСОП;1;1;10.0
код NLI;1;1;10.0
код TGN;1;1;10.0
код Национальной библиотеки Греции;1;1;10.0
код в энциклопедии «Британника онлайн»;1;1;10.0
короткое название;1;1;10.0
название на языке оригинала;1;1;10.0
находится в охранной зоне;1;1;10.0
находится на берегу водоёма;1;1;10.0
общая тема категории;1;1;10.0
описан на сайте;1;1;10.0
основная категория по теме;1;1;10.0
основополагающий текст;1;1;10.0
руководящий орган;1;1;10.0
состоит из представителей класса;1;1;10.0
территория перекрывается с;1;1;10.0
