prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;15;100.0
государство;10;10;100.0
административно-территориальная единица;9;13;90.0
географические координаты;9;9;90.0
изображение;7;8;70.0
категория на Викискладе;6;6;60.0
дата основания/создания/возникновения;5;5;50.0
местонахождение;4;14;40.0
названо в честь;3;3;30.0
обитатель;3;3;30.0
оператор;3;3;30.0
часть от;2;10;20.0
место смерти;2;5;20.0
владельцем является;2;2;20.0
дата официального открытия;2;2;20.0
дата прекращения существования;2;2;20.0
ключевое событие;2;2;20.0
код Freebase;2;2;20.0
код LCNAF;2;2;20.0
код Mérimée;2;2;20.0
код VIAF;2;2;20.0
название на языке оригинала;2;2;20.0
не путать с;2;2;20.0
общая тема категории;2;2;20.0
основная категория по теме;2;2;20.0
официальное название;2;2;20.0
статус наследия;2;2;20.0
участник(и);1;11;10.0
война/сражение;1;4;10.0
изображённый объект;1;2;10.0
количество заключённых;1;2;10.0
расположение штаб-квартиры;1;2;10.0
WOEID;1;1;10.0
Who's on First ID;1;1;10.0
адрес;1;1;10.0
вместимость;1;1;10.0
выдающееся произведение;1;1;10.0
дата начала;1;1;10.0
дата окончания;1;1;10.0
дата официального закрытия;1;1;10.0
карта местонахождения;1;1;10.0
категория карт на Викискладе;1;1;10.0
категория объединяет темы;1;1;10.0
код GeoNames;1;1;10.0
командир;1;1;10.0
командовал;1;1;10.0
место съёмок;1;1;10.0
описывается в источниках;1;1;10.0
основная тема;1;1;10.0
полученные награды;1;1;10.0
состоит из;1;1;10.0
часть света;1;1;10.0
