prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;12;100.0
государство;6;8;60.0
карта местонахождения;5;6;50.0
обладает свойством;4;4;40.0
местонахождение;3;3;30.0
общая тема категории;3;3;30.0
основная категория по теме;3;3;30.0
часть от;3;3;30.0
изображение;2;3;20.0
категория объединяет темы;2;3;20.0
French Vikidia ID;2;2;20.0
категория на Викискладе;2;2;20.0
код Freebase;2;2;20.0
изображённый объект;1;5;10.0
место создания;1;2;10.0
область деятельности;1;2;10.0
тематически относится к;1;2;10.0
административно-территориальная единица;1;1;10.0
баннер Викигида;1;1;10.0
географические координаты;1;1;10.0
изображение флага;1;1;10.0
изучается в;1;1;10.0
код ASC Leiden Thesaurus;1;1;10.0
код в Encyclopædia Universalis;1;1;10.0
код темы Quora;1;1;10.0
логотип;1;1;10.0
не путать с;1;1;10.0
область интересов;1;1;10.0
основная тема;1;1;10.0
официальный язык;1;1;10.0
предмет изучения;1;1;10.0
состоит из;1;1;10.0
участник организации или клуба;1;1;10.0
юрисдикция распространяется на;1;1;10.0
