prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;22;100.0
государство;10;11;100.0
административно-территориальная единица;9;15;90.0
изображение;9;9;90.0
географические координаты;8;8;80.0
категория на Викискладе;7;7;70.0
сделано из;5;5;50.0
код «Вики любит памятники»;4;4;40.0
статус наследия;4;4;40.0
код DGPC;3;3;30.0
код SIPA;3;3;30.0
культура;3;3;30.0
местонахождение;3;3;30.0
высота над уровнем моря;2;2;20.0
дата открытия;2;2;20.0
код Freebase;2;2;20.0
код GNIS;2;2;20.0
код GeoNames;2;2;20.0
название на языке оригинала;2;2;20.0
названо в честь;2;2;20.0
находится в охранной зоне;2;2;20.0
первооткрыватель или изобретатель;2;2;20.0
часть от;2;2;20.0
Irish National Monument ID;1;1;10.0
Irish Sites and Monuments Record ID;1;1;10.0
LoJ peak ID;1;1;10.0
Microsoft Academic ID;1;1;10.0
Mountain Project ID;1;1;10.0
eBird hotspot ID;1;1;10.0
высота/рост;1;1;10.0
горный хребет;1;1;10.0
дата основания/создания/возникновения;1;1;10.0
инвентарный номер;1;1;10.0
код BabelNet;1;1;10.0
код Peakbagger;1;1;10.0
код Peakware;1;1;10.0
код SummitPost;1;1;10.0
код TGN;1;1;10.0
не путать с;1;1;10.0
описан на сайте;1;1;10.0
официальный сайт;1;1;10.0
создатель;1;1;10.0
толщина;1;1;10.0
хранится в коллекции;1;1;10.0
часть света;1;1;10.0
ширина;1;1;10.0
