prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;6484;100.0
численность населения;10;64;100.0
карта местонахождения;10;12;100.0
FIPS 10-4 (страны и регионы);10;10;100.0
ISO 3166-2;10;10;100.0
Who's on First ID;10;10;100.0
административно делится на;10;10;100.0
географические координаты;10;10;100.0
геоданные;10;10;100.0
государство;10;10;100.0
изображение флага;10;10;100.0
категория на Викискладе;10;10;100.0
код Freebase;10;10;100.0
код GeoNames;10;10;100.0
код TGN;10;10;100.0
общая тема категории;10;10;100.0
основная категория по теме;10;10;100.0
официальный сайт;10;10;100.0
площадь;10;10;100.0
столица;10;10;100.0
это частный случай понятия;10;10;100.0
категория объединяет темы;9;16;90.0
высота над уровнем моря;9;9;90.0
название на языке оригинала;9;9;90.0
является столицей;9;9;90.0
десятичная классификация Дьюи;8;8;80.0
изображение;8;8;80.0
место рождения;7;104;70.0
изображение герба;7;7;70.0
категория карт на Викискладе;7;7;70.0
код в энциклопедии «Британника онлайн»;7;7;70.0
категория для людей, связанных с местностью;6;6;60.0
место смерти;4;5;40.0
идентификатор местоположения ArchINFORM;4;4;40.0
место в MusicBrainz;4;4;40.0
код GND;3;3;30.0
местонахождение;2;4;20.0
используемый язык;2;2;20.0
категория для людей, родившихся здесь;2;2;20.0
происходит из;2;2;20.0
город-побратим;1;1;10.0
дата основания/создания/возникновения;1;1;10.0
идентификатор Ringgold;1;1;10.0
код BabelNet;1;1;10.0
код ISNI;1;1;10.0
код LCNAF;1;1;10.0
код VIAF;1;1;10.0
код для сущности Wolfram Language;1;1;10.0
код темы Quora;1;1;10.0
названо в честь;1;1;10.0
обслуживаемый город;1;1;10.0
расположение штаб-квартиры;1;1;10.0
часовой пояс;1;1;10.0
