prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;5155;100.0
имеет границы с;10;31;100.0
карта местонахождения;10;12;100.0
FIPS 10-4 (страны и регионы);10;10;100.0
ID отношения в OpenStreetMap;10;10;100.0
ISO 3166-2;10;10;100.0
Who's on First ID;10;10;100.0
географические координаты;10;10;100.0
государство;10;10;100.0
изображение флага;10;10;100.0
код Freebase;10;10;100.0
код GeoNames;10;10;100.0
код TGN;10;10;100.0
общая тема категории;10;10;100.0
основная категория по теме;10;10;100.0
площадь;10;10;100.0
столица;10;10;100.0
численность населения;10;10;100.0
это частный случай понятия;10;10;100.0
используемый язык;9;57;90.0
происходит из;9;56;90.0
является столицей;9;9;90.0
изображение;8;8;80.0
место рождения;4;4;40.0
категория на Викискладе;2;2;20.0
часовой пояс;2;2;20.0
административно делится на;1;1;10.0
дата основания/создания/возникновения;1;1;10.0
дата прекращения существования;1;1;10.0
код BabelNet;1;1;10.0
код NE.se;1;1;10.0
код в Большой каталанской энциклопедии;1;1;10.0
место в MusicBrainz;1;1;10.0
местонахождение;1;1;10.0
название на языке оригинала;1;1;10.0
официальное название;1;1;10.0
