prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;9;10;100.0
географические координаты;4;4;44.44444444444444
находится в пределах природно-географического объекта;3;8;33.33333333333333
государство;3;5;33.33333333333333
изображение;3;3;33.33333333333333
код Freebase;3;3;33.33333333333333
основная тема;2;4;22.22222222222222
категория на Викискладе;2;2;22.22222222222222
код GND;2;2;22.22222222222222
код VIAF;2;2;22.22222222222222
часть от;1;2;11.11111111111111
Microsoft Academic ID;1;1;11.11111111111111
административно-территориальная единица;1;1;11.11111111111111
длина;1;1;11.11111111111111
ключевое событие;1;1;11.11111111111111
код BabelNet;1;1;11.11111111111111
код Gazetteer of Planetary Nomenclature;1;1;11.11111111111111
код GeoNames;1;1;11.11111111111111
код в Большой каталанской энциклопедии;1;1;11.11111111111111
код в Большой российской энциклопедии онлайн;1;1;11.11111111111111
код в Энциклопедии современной Украины;1;1;11.11111111111111
код в энциклопедии «Британника онлайн»;1;1;11.11111111111111
код тезауруса PACTOLS;1;1;11.11111111111111
код темы Quora;1;1;11.11111111111111
местонахождение;1;1;11.11111111111111
на астрономическом теле;1;1;11.11111111111111
находится на берегу водоёма;1;1;11.11111111111111
описывается в источниках;1;1;11.11111111111111
эра;1;1;11.11111111111111
