prop_name;prop_count;prop_count_value;prop_counter
государство;10;12;100.0
дата основания/создания/возникновения;10;10;100.0
это частный случай понятия;10;10;100.0
административно-территориальная единица;8;17;80.0
административно делится на;8;14;80.0
столица;8;10;80.0
код GND;7;7;70.0
код VIAF;7;7;70.0
дата прекращения существования;6;6;60.0
является столицей;6;6;60.0
код Freebase;5;5;50.0
изображение герба;3;3;30.0
изображение флага;3;3;30.0
место рождения;2;3;20.0
категория на Викискладе;2;2;20.0
общая тема категории;2;2;20.0
основная категория по теме;2;2;20.0
глава правительства;1;2;10.0
WorldCat Identities ID;1;1;10.0
географические координаты;1;1;10.0
изображение;1;1;10.0
используемый язык;1;1;10.0
категория карт на Викискладе;1;1;10.0
категория объединяет темы;1;1;10.0
код NKC;1;1;10.0
место смерти;1;1;10.0
местонахождение;1;1;10.0
название на языке оригинала;1;1;10.0
основная тема;1;1;10.0
официальный язык;1;1;10.0
площадь;1;1;10.0
предыдущее по порядку;1;1;10.0
следующее по порядку;1;1;10.0
часть света;1;1;10.0
