prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;83553;100.0
местонахождение;10;1895;100.0
происходит из;10;172;100.0
используемый язык;10;170;100.0
категория объединяет темы;10;50;100.0
имеет границы с;10;35;100.0
юрисдикция распространяется на;10;21;100.0
административно делится на;10;13;100.0
FIPS 10-4 (страны и регионы);10;12;100.0
государство;10;12;100.0
изображение;10;11;100.0
карта местонахождения;10;11;100.0
общая тема категории;10;11;100.0
площадь;10;11;100.0
ID отношения в OpenStreetMap;10;10;100.0
ISO 3166-2;10;10;100.0
Who's on First ID;10;10;100.0
высота над уровнем моря;10;10;100.0
географические координаты;10;10;100.0
изображение герба;10;10;100.0
изображение флага;10;10;100.0
категория карт на Викискладе;10;10;100.0
категория на Викискладе;10;10;100.0
код GeoNames;10;10;100.0
код индонезийского поселения;10;10;100.0
описание герба;10;10;100.0
основная категория по теме;10;10;100.0
официальный сайт;10;10;100.0
позиционная карта;10;10;100.0
столица;10;10;100.0
это частный случай понятия;10;10;100.0
является столицей;10;10;100.0
место рождения;9;116;90.0
находится на берегу водоёма;9;23;90.0
десятичная классификация Дьюи;9;9;90.0
код Freebase;9;9;90.0
код в энциклопедии «Британника онлайн»;9;9;90.0
почтовый индекс;9;9;90.0
глава правительства;8;9;80.0
дата основания/создания/возникновения;8;8;80.0
категория для людей, родившихся здесь;8;8;80.0
код NKC;8;8;80.0
код в Большой каталанской энциклопедии;8;8;80.0
dmoz;7;7;70.0
баннер Викигида;7;7;70.0
категория для людей, связанных с местностью;7;7;70.0
код TGN;7;7;70.0
численность населения;7;7;70.0
место смерти;6;18;60.0
зона обслуживания;6;7;60.0
категория для людей, умерших здесь;6;6;60.0
код BNF;6;6;60.0
место в MusicBrainz;6;6;60.0
место активности;5;34;50.0
код темы Quora;5;5;50.0
код GND;4;4;40.0
место изготовления;3;16;30.0
часть от;3;7;30.0
страна происхождения;3;5;30.0
место жительства;3;4;30.0
название на языке оригинала;3;4;30.0
официальный язык;3;4;30.0
находится в пределах природно-географического объекта;3;3;30.0
расположение штаб-квартиры;3;3;30.0
часовой пояс;3;3;30.0
основная тема;2;3;20.0
должность главы правительства;2;2;20.0
идентификатор местоположения ArchINFORM;2;2;20.0
код US National Archives;2;2;20.0
код VIAF;2;2;20.0
наивысшая точка;2;2;20.0
код автомобильного номера;1;27;10.0
состоит из;1;5;10.0
отношение к религии;1;4;10.0
официальное название;1;3;10.0
владеет;1;2;10.0
город-побратим;1;2;10.0
изображённый объект;1;2;10.0
обслуживаемый город;1;2;10.0
описывается в источниках;1;2;10.0
WorldCat Identities ID;1;1;10.0
владельцем является;1;1;10.0
война/сражение;1;1;10.0
гражданство;1;1;10.0
заменён на;1;1;10.0
код Comic Vine;1;1;10.0
код LCNAF;1;1;10.0
код NDL;1;1;10.0
код NE.se;1;1;10.0
код NLI;1;1;10.0
код SELIBR;1;1;10.0
код YSO;1;1;10.0
код в Encyclopædia Universalis;1;1;10.0
код в Национальной библиотеке Австралии (персоналии);1;1;10.0
место обнаружения;1;1;10.0
место создания;1;1;10.0
место съёмок;1;1;10.0
названо в честь;1;1;10.0
не путать с;1;1;10.0
область интересов;1;1;10.0
основатель;1;1;10.0
пример использования свойства;1;1;10.0
текст девиза;1;1;10.0
