prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;12047;100.0
место рождения;10;703;100.0
категория объединяет темы;10;169;100.0
используемый язык;10;133;100.0
происходит из;10;126;100.0
государство;10;45;100.0
имеет границы с;10;41;100.0
юрисдикция распространяется на;10;31;100.0
местный телефонный код;10;17;100.0
почтовый индекс;10;15;100.0
численность населения;10;11;100.0
это частный случай понятия;10;11;100.0
FIPS 10-4 (страны и регионы);10;10;100.0
ISO 3166-2;10;10;100.0
Who's on First ID;10;10;100.0
dmoz;10;10;100.0
административно делится на;10;10;100.0
баннер Викигида;10;10;100.0
географические координаты;10;10;100.0
изображение герба;10;10;100.0
изображение флага;10;10;100.0
карта местонахождения;10;10;100.0
категория карт на Викискладе;10;10;100.0
категория на Викискладе;10;10;100.0
код Freebase;10;10;100.0
код GND;10;10;100.0
код GeoNames;10;10;100.0
код TGN;10;10;100.0
место в MusicBrainz;10;10;100.0
общая тема категории;10;10;100.0
основная категория по теме;10;10;100.0
официальный сайт;10;10;100.0
площадь;10;10;100.0
столица;10;10;100.0
часовой пояс;10;10;100.0
является столицей;10;10;100.0
код LCNAF;9;14;90.0
галерея на Викискладе;9;9;90.0
категория для людей, связанных с местностью;9;9;90.0
код VIAF;9;9;90.0
код автомобильного номера;9;9;90.0
код в Большой каталанской энциклопедии;9;9;90.0
местонахождение;8;99;80.0
место смерти;8;34;80.0
основная тема;8;10;80.0
ID отношения в OpenStreetMap;8;8;80.0
расположение штаб-квартиры;7;17;70.0
код BNF;7;7;70.0
глава правительства;6;20;60.0
часть от;6;8;60.0
код в энциклопедии «Британника онлайн»;6;6;60.0
код темы Quora;6;6;60.0
обслуживаемый город;6;6;60.0
место жительства;5;14;50.0
описывается в источниках;5;7;50.0
владеет;4;7;40.0
владельцем является;4;7;40.0
род;4;6;40.0
должность главы государства;4;4;40.0
изображение;4;4;40.0
находится на берегу водоёма;4;4;40.0
описание флага;4;4;40.0
подробная карта;4;4;40.0
награда от;3;4;30.0
высота над уровнем моря;3;3;30.0
гимн;3;3;30.0
дата основания/создания/возникновения;3;3;30.0
история темы;3;3;30.0
категория для людей, родившихся здесь;3;3;30.0
код ISNI;3;3;30.0
код SUDOC;3;3;30.0
тематически относится к;3;3;30.0
глава государства;2;16;20.0
названо в честь;2;5;20.0
официальное название;2;4;20.0
история происходит в месте;2;3;20.0
оператор;2;3;20.0
должность главы правительства;2;2;20.0
код BabelNet;2;2;20.0
код GACS;2;2;20.0
код NDL;2;2;20.0
код US National Archives;2;2;20.0
расположение конечной точки;2;2;20.0
официальный язык;1;4;10.0
название на языке оригинала;1;2;10.0
основной порт;1;2;10.0
состоит из;1;2;10.0
страна происхождения;1;2;10.0
текст девиза;1;2;10.0
Google News topics ID;1;1;10.0
National Library Board Singapore ID;1;1;10.0
WOEID;1;1;10.0
география темы;1;1;10.0
город-побратим;1;1;10.0
денежная единица;1;1;10.0
законодательный орган;1;1;10.0
заменил;1;1;10.0
заменён на;1;1;10.0
зона обслуживания;1;1;10.0
идентификатор Ringgold;1;1;10.0
идентификатор местоположения ArchINFORM;1;1;10.0
категория для людей, умерших здесь;1;1;10.0
ключевое событие;1;1;10.0
код Comic Vine;1;1;10.0
код FAST;1;1;10.0
код NKC;1;1;10.0
код NLA;1;1;10.0
код NLI;1;1;10.0
код SELIBR;1;1;10.0
код YSO;1;1;10.0
код ТИА;1;1;10.0
код в Encyclopædia Universalis;1;1;10.0
код в Большой российской энциклопедии онлайн;1;1;10.0
код в Национальной библиотеке Австралии (персоналии);1;1;10.0
мать;1;1;10.0
место активности;1;1;10.0
место погребения;1;1;10.0
место создания;1;1;10.0
не путать с;1;1;10.0
описание герба;1;1;10.0
предки из;1;1;10.0
сетевое напряжение;1;1;10.0
следующее по порядку;1;1;10.0
сторона автомобильного движения;1;1;10.0
тип электрического разъёма;1;1;10.0
туристический центр;1;1;10.0
участник(и);1;1;10.0
форма правления;1;1;10.0
этнохороним;1;1;10.0
является эндемиком в;1;1;10.0
