prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;12;100.0
административно-территориальная единица;10;10;100.0
географические координаты;10;10;100.0
государство;10;10;100.0
изображение;10;10;100.0
категория на Викискладе;10;10;100.0
код Freebase;10;10;100.0
статус наследия;7;17;70.0
дата основания/создания/возникновения;5;6;50.0
часть от;5;5;50.0
каталожный код;4;4;40.0
отношение к религии;4;4;40.0
ключевое событие;3;7;30.0
площадь;3;6;30.0
высота/рост;3;5;30.0
код Всемирного наследия ЮНЕСКО;3;3;30.0
код в энциклопедии «Британника онлайн»;3;3;30.0
состоит из;3;3;30.0
сделано из;2;3;20.0
общая тема категории;2;2;20.0
основная категория по теме;2;2;20.0
критерий Всемирного наследия;1;4;10.0
состоит из представителей класса;1;2;10.0
Новая романизация корейского языка;1;1;10.0
адрес;1;1;10.0
архитектор;1;1;10.0
архитектурный стиль;1;1;10.0
владельцем является;1;1;10.0
галерея на Викискладе;1;1;10.0
дата прекращения существования;1;1;10.0
идентификатор Structurae;1;1;10.0
используется как/для/в;1;1;10.0
код BabelNet;1;1;10.0
код CONA;1;1;10.0
код GeoNames;1;1;10.0
код LCNAF;1;1;10.0
код Mérimée;1;1;10.0
местонахождение;1;1;10.0
названо в честь;1;1;10.0
находится в пределах природно-географического объекта;1;1;10.0
номер телефона;1;1;10.0
официальный сайт;1;1;10.0
расположен на улице;1;1;10.0
расположение штаб-квартиры;1;1;10.0
романизация Маккьюна — Райшауэра;1;1;10.0
создатель;1;1;10.0
страница учреждения на Викискладе;1;1;10.0
угол от вертикали;1;1;10.0
