prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;20;100.0
административно-территориальная единица;10;10;100.0
государство;10;10;100.0
площадь;10;10;100.0
географические координаты;9;9;90.0
код в Большой каталанской энциклопедии;8;8;80.0
изображение;6;6;60.0
код VIAF;6;6;60.0
ID отношения в OpenStreetMap;4;4;40.0
код BNE;4;4;40.0
высота над уровнем моря;3;3;30.0
категория на Викискладе;2;2;20.0
код Inventari del Patrimoni Arquitectònic de Catalunya;2;2;20.0
место смерти;2;2;20.0
место рождения;1;3;10.0
этнохороним;1;3;10.0
архитектурный стиль;1;2;10.0
находится на берегу водоёма;1;2;10.0
статус наследия;1;2;10.0
административно делится на;1;1;10.0
адрес;1;1;10.0
идентификатор Bien de Interés Cultural;1;1;10.0
код каталанского объекта культурного интереса;1;1;10.0
названо в честь;1;1;10.0
официальное название;1;1;10.0
расположение штаб-квартиры;1;1;10.0
численность населения;1;1;10.0
