prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;12932;100.0
категория объединяет темы;10;30;100.0
FIPS 10-4 (страны и регионы);10;10;100.0
ISO 3166-2;10;10;100.0
Who's on First ID;10;10;100.0
административно делится на;10;10;100.0
высота над уровнем моря;10;10;100.0
географические координаты;10;10;100.0
государство;10;10;100.0
карта местонахождения;10;10;100.0
категория для людей, родившихся здесь;10;10;100.0
категория карт на Викискладе;10;10;100.0
категория на Викискладе;10;10;100.0
код GeoNames;10;10;100.0
код TGN;10;10;100.0
общая тема категории;10;10;100.0
основная категория по теме;10;10;100.0
площадь;10;10;100.0
столица;10;10;100.0
это частный случай понятия;10;10;100.0
код Freebase;8;8;80.0
место рождения;7;14;70.0
изображение;7;7;70.0
категория для людей, связанных с местностью;7;7;70.0
код LCNAF;6;6;60.0
является столицей;6;6;60.0
используемый язык;5;7;50.0
происходит из;5;7;50.0
код BNF;5;5;50.0
численность населения;4;8;40.0
код VIAF;4;4;40.0
код темы Quora;4;4;40.0
место в MusicBrainz;4;4;40.0
код FAST;3;3;30.0
код NLI;3;3;30.0
имеет границы с;2;2;20.0
место смерти;2;2;20.0
официальный сайт;2;2;20.0
название на языке оригинала;1;2;10.0
галерея на Викискладе;1;1;10.0
история происходит в месте;1;1;10.0
код BabelNet;1;1;10.0
код SUDOC;1;1;10.0
названо в честь;1;1;10.0
находится на берегу водоёма;1;1;10.0
официальное название;1;1;10.0
позиционная карта;1;1;10.0
