prop_name;prop_count;prop_count_value;prop_counter
изображение;10;22;100.0
это частный случай понятия;10;14;100.0
административно-территориальная единица;10;12;100.0
географические координаты;10;11;100.0
государство;10;10;100.0
категория на Викискладе;6;6;60.0
высота над уровнем моря;5;5;50.0
находится на берегу водоёма;3;9;30.0
местонахождение;3;4;30.0
код GeoNames;3;3;30.0
площадь;3;3;30.0
официальное название;2;4;20.0
Czech Monument Catalogue Number;2;2;20.0
водоём на реке;2;2;20.0
впадающие в озеро реки;2;2;20.0
длина;2;2;20.0
идентификатор Чешского культурного наследия;2;2;20.0
код GND;2;2;20.0
код VIAF;2;2;20.0
находится в пределах природно-географического объекта;2;2;20.0
почтовый индекс;2;2;20.0
статус наследия;2;2;20.0
ширина;2;2;20.0
адрес;1;1;10.0
вертикальная глубина;1;1;10.0
владельцем является;1;1;10.0
вытекающие из озера реки;1;1;10.0
дата основания/создания/возникновения;1;1;10.0
код Freebase;1;1;10.0
код для сущности Wolfram Language;1;1;10.0
названо в честь;1;1;10.0
площадь бассейна;1;1;10.0
состоит из;1;1;10.0
часть от;1;1;10.0
