prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;35;100.0
государство;10;10;100.0
административно-территориальная единица;9;1164;90.0
является столицей;7;19;70.0
географические координаты;7;7;70.0
место рождения;6;5161;60.0
столица;6;7;60.0
код Freebase;5;5;50.0
основатель;5;5;50.0
место смерти;4;2729;40.0
находится в границах современной административной единицы;4;5;40.0
следующее по порядку;4;5;40.0
категория на Викискладе;4;4;40.0
предыдущее по порядку;4;4;40.0
местонахождение;3;189;30.0
место жительства;3;145;30.0
названо в честь;3;16;30.0
основная тема;3;11;30.0
дата основания/создания/возникновения;3;3;30.0
изображение;3;3;30.0
код VIAF;3;3;30.0
расположение штаб-квартиры;2;601;20.0
часть от;2;4;20.0
Uppsala University Alvin ID;2;2;20.0
высота над уровнем моря;2;2;20.0
дата прекращения существования;2;2;20.0
код NDL;2;2;20.0
находится в пределах природно-географического объекта;2;2;20.0
общая тема категории;2;2;20.0
описывается в источниках;2;2;20.0
основная категория по теме;2;2;20.0
предположительно одно и то же с;2;2;20.0
история происходит в месте;1;330;10.0
место погребения;1;225;10.0
зона обслуживания;1;126;10.0
место съёмок;1;104;10.0
место создания;1;99;10.0
место активности;1;79;10.0
город-побратим;1;68;10.0
владельцем является;1;54;10.0
порт приписки;1;42;10.0
численность населения;1;39;10.0
категория объединяет темы;1;29;10.0
пункт назначения;1;14;10.0
изображённый объект;1;13;10.0
начало пути;1;11;10.0
место публикации;1;9;10.0
основной порт;1;9;10.0
статус наследия;1;8;10.0
учётная запись в Твиттере;1;6;10.0
глава правительства;1;5;10.0
критерий Всемирного наследия;1;5;10.0
обслуживаемый город;1;5;10.0
организатор;1;5;10.0
место изготовления;1;4;10.0
находится на берегу водоёма;1;4;10.0
юрисдикция распространяется на;1;4;10.0
этнохороним;1;3;10.0
гражданство;1;2;10.0
классификация климата Кёппена;1;2;10.0
ключевое событие;1;2;10.0
код GeoNames;1;2;10.0
местный телефонный код;1;2;10.0
официальный сайт;1;2;10.0
постоянный дубликат;1;2;10.0
страна происхождения;1;2;10.0
часть света;1;2;10.0
Australian War Memorial ID;1;1;10.0
Basque Vikidia ID;1;1;10.0
English Vikidia ID;1;1;10.0
French Vikidia ID;1;1;10.0
ID отношения в OpenStreetMap;1;1;10.0
Italian Vikidia ID;1;1;10.0
Spanish Vikidia ID;1;1;10.0
WOEID;1;1;10.0
Who's on First ID;1;1;10.0
dmoz;1;1;10.0
архитектурный стиль;1;1;10.0
баннер Викигида;1;1;10.0
вид в ночное время;1;1;10.0
галерея на Викискладе;1;1;10.0
десятичная классификация Дьюи;1;1;10.0
должность главы правительства;1;1;10.0
домашний стадион;1;1;10.0
дочерние компании (организации, учреждения);1;1;10.0
за работу;1;1;10.0
занимает ту же территорию с;1;1;10.0
значение в OmegaWiki;1;1;10.0
значимое место;1;1;10.0
идентификатор Dizionario di Storia;1;1;10.0
идентификатор Giant Bomb;1;1;10.0
идентификатор местоположения ArchINFORM;1;1;10.0
имеет форму;1;1;10.0
история темы;1;1;10.0
карта местонахождения;1;1;10.0
категория для людей, похороненных здесь;1;1;10.0
категория для людей, родившихся здесь;1;1;10.0
категория для людей, связанных с местностью;1;1;10.0
категория для людей, умерших здесь;1;1;10.0
категория карт на Викискладе;1;1;10.0
категория фильмов, снятых в этом месте;1;1;10.0
код BNF;1;1;10.0
код BabelNet;1;1;10.0
код Comic Vine;1;1;10.0
код EMLO location;1;1;10.0
код GND;1;1;10.0
код ISNI;1;1;10.0
код LCNAF;1;1;10.0
код NKC;1;1;10.0
код NLI;1;1;10.0
код SELIBR;1;1;10.0
код SUDOC;1;1;10.0
код TDV İslam Ansiklopedisi;1;1;10.0
код TGN;1;1;10.0
код UK Parliament thesaurus;1;1;10.0
код US National Archives;1;1;10.0
код YSO;1;1;10.0
код Цифрового атласа Римской империи;1;1;10.0
код автомобильного номера;1;1;10.0
код в Encyclopædia Universalis;1;1;10.0
код в Nomisma.org;1;1;10.0
код в Большой каталанской энциклопедии;1;1;10.0
код в Большой норвежской энциклопедии;1;1;10.0
код в Большой российской энциклопедии онлайн;1;1;10.0
код в Предварительном списке Всемирного наследия;1;1;10.0
код в регистре Национального наследия Ирана;1;1;10.0
код в энциклопедии «Британника онлайн»;1;1;10.0
код места в Facebook;1;1;10.0
код онлайн-версии Энциклопедии Брокгауз;1;1;10.0
код статьи Klexikon;1;1;10.0
код темы Quora;1;1;10.0
коллаж;1;1;10.0
лицензия на вещание в;1;1;10.0
место в MusicBrainz;1;1;10.0
место содержания под стражей;1;1;10.0
название на языке оригинала;1;1;10.0
наивысшая точка;1;1;10.0
опубликовано в;1;1;10.0
основная тема портала Викимедиа;1;1;10.0
основная тема шаблона;1;1;10.0
основной шаблон по теме;1;1;10.0
относится к вики-проекту;1;1;10.0
официальное название;1;1;10.0
площадь;1;1;10.0
портал Викимедиа;1;1;10.0
почтовый индекс;1;1;10.0
произношение (звуковой файл);1;1;10.0
работодатель;1;1;10.0
рабочий список проекта Викимедиа;1;1;10.0
расположение конечной точки;1;1;10.0
сабреддит;1;1;10.0
соединяется с;1;1;10.0
тематически относится к;1;1;10.0
указания, как добраться;1;1;10.0
учётная запись Facebook;1;1;10.0
хештег;1;1;10.0
часовой пояс;1;1;10.0
