prop_name;prop_count;prop_count_value;prop_counter
изображённый объект;14;855;100.0
основная тема;14;823;100.0
административно-территориальная единица;14;804;100.0
место рождения;14;757;100.0
местонахождение;14;742;100.0
это частный случай понятия;14;26;100.0
код GeoNames;14;23;100.0
произношение (звуковой файл);14;18;100.0
государство;14;16;100.0
изображение;14;15;100.0
Vision of Britain place ID;14;14;100.0
географические координаты;14;14;100.0
категория на Викискладе;14;14;100.0
общая тема категории;14;14;100.0
основная категория по теме;14;14;100.0
место публикации;13;4745;92.85714285714286
место смерти;13;254;92.85714285714286
место жительства;13;203;92.85714285714286
названо в честь;13;22;92.85714285714286
Who's on First ID;13;13;92.85714285714286
географический код Великобритании;13;13;92.85714285714286
код VIAF;13;13;92.85714285714286
dmoz;12;12;85.71428571428571
код EMLO location;12;12;85.71428571428571
код Freebase;12;12;85.71428571428571
место активности;11;119;78.57142857142857
расположение штаб-квартиры;11;61;78.57142857142857
код LCNAF;11;11;78.57142857142857
категория объединяет темы;10;23;71.42857142857143
Vision of Britain unit ID;10;20;71.42857142857143
баннер Викигида;10;10;71.42857142857143
TOID;9;13;64.28571428571429
код GSS (2011);9;9;64.28571428571429
место погребения;8;12;57.14285714285714
категория для людей, родившихся здесь;8;8;57.14285714285714
категория для людей, связанных с местностью;8;8;57.14285714285714
код GND;8;8;57.14285714285714
код в энциклопедии «Британника онлайн»;8;8;57.14285714285714
место в MusicBrainz;8;8;57.14285714285714
код темы Quora;7;8;50.0
официальный сайт;7;7;50.0
почтовый индекс;7;7;50.0
имеет границы с;5;9;35.714285714285715
описывается в источниках;5;8;35.714285714285715
WOEID;5;5;35.714285714285715
местный телефонный код;5;5;35.714285714285715
город-побратим;4;9;28.57142857142857
место создания;4;6;28.57142857142857
находится на берегу водоёма;4;5;28.57142857142857
идентификатор местоположения ArchINFORM;4;4;28.57142857142857
категория для людей, умерших здесь;4;4;28.57142857142857
столица;4;4;28.57142857142857
является столицей;4;4;28.57142857142857
место изготовления;3;113;21.428571428571427
название на языке оригинала;3;5;21.428571428571427
численность населения;3;3;21.428571428571427
включает населённый пункт;2;2;14.285714285714285
галерея на Викискладе;2;2;14.285714285714285
дата основания/создания/возникновения;2;2;14.285714285714285
карта местонахождения;2;2;14.285714285714285
находится в охранной зоне;2;2;14.285714285714285
начало пути;2;2;14.285714285714285
часовой пояс;2;2;14.285714285714285
часть от;2;2;14.285714285714285
порт приписки;1;601;7.142857142857142
место съёмок;1;2;7.142857142857142
официальное название;1;2;7.142857142857142
WorldCat Identities ID;1;1;7.142857142857142
история происходит в месте;1;1;7.142857142857142
категория для людей, похороненных здесь;1;1;7.142857142857142
категория карт на Викискладе;1;1;7.142857142857142
код BBC Things;1;1;7.142857142857142
код NE.se;1;1;7.142857142857142
код NKC;1;1;7.142857142857142
код в Большой каталанской энциклопедии;1;1;7.142857142857142
не путать с;1;1;7.142857142857142
пункт назначения;1;1;7.142857142857142
расположение конечной точки;1;1;7.142857142857142
соединяется с;1;1;7.142857142857142
